Density_Type,Station_Index,X_Coord,Y_Coord,Chargers_Built,Capacity_Robots
High,0,-60.20511973,-63.98841777999999,8,16
High,1,-60.20511973,-63.98841777999999,8,16
High,2,-60.20511973,-63.98841777999999,8,16
High,6,-60.20511973,-63.98841777999999,1,2
Low,0,-1.5912490919544335,-87.71717674012723,8,16
Low,3,53.042953309999994,-70.72948288000002,1,2
Low,4,-5.219663165,-89.82890825,8,16
Low,7,5.781430345846726,-85.7255160806641,8,16
Median,0,148.5435434,-75.01089047,8,16
Median,3,159.6032258,-75.01089047,8,16
Median,4,159.6032258,-75.01089047000002,1,2
Median,5,148.5435434,-75.01089047,8,16
