index,longitude,latitude,range
0,-120.2408148,-79.23837427,127.8682745
1,-134.5378392,-83.4262141,87.2464881
2,-105.2822148,-84.68170509,64.39379905
3,-105.4532435,-77.96400711,100.815352
4,-168.8162601,-86.93488792,36.02154367
5,-115.5387208,-89.76382182,59.79029703
6,-134.2914704,-77.79880444,25.91622302
7,-104.5018311,-79.2271725,118.9808351
8,-140.1312288,-87.85896352,55.73832192
9,-122.5076672,-86.90936566,94.01708563
10,-162.1519129,-85.43877865,73.26342275
11,-166.312639,-88.24039314,75.88882689
12,-163.210108,-86.76180578,84.08858543
13,-134.020991,-83.12642842,49.47404607
14,-152.0754257,-81.4102447,126.5803115
15,-117.9415823,-76.94885985,124.6428906
16,-136.8357524,-84.47426013,43.98092876
17,-168.1935168,-85.38293983,21.12807222
18,-132.3017332,-86.64920277,88.12940217
19,-133.1908574,-75.70382789,107.4186569
20,-109.939211,-89.60358832,46.37293218
21,-174.0560539,-89.34636107,80.36811993
22,-122.5848085,-82.56986532,28.19556023
23,-159.7097577,-85.48329379,85.11195621
24,-105.0611235,-85.59003767,25.93508787
25,-125.4533151,-89.64251331,113.5847132
26,-133.6632372,-80.48462456,108.9909822
27,-135.405585,-77.18437478,147.4805236
28,-177.8388399,-89.20233481,67.9001373
29,-153.7026381,-83.890101,64.4323385
30,-133.9622701,-75.55209651,101.8391821
31,-123.9686383,-76.68554669,54.80154918
32,-151.3537209,-88.9029842,113.0028909
33,-138.6423922,-82.92132441,99.3652786
34,-122.1500035,-85.22089945,102.5443438
35,-126.5651805,-88.45617878,24.83539992
36,-105.6813595,-77.95959147,34.99929613
37,-139.114758,-89.08925643,116.6563393
38,-112.2520266,-85.07648598,33.1434655
39,-133.4784729,-79.2375662,88.85044012
40,-152.3119825,-89.69701197,101.3245325
41,-122.1782837,-87.62479045,91.36095855
42,-108.9929852,-85.73871113,87.25088827
43,-118.8019421,-83.85063093,60.55031217
44,-109.4050726,-88.22931465,109.4669
45,-130.9520075,-79.4809344,44.59293013
46,-105.3307243,-80.77315855,101.0378007
47,-133.5150299,-78.73563009,87.97783469
48,-148.2482604,-83.12506713,132.3515288
49,-125.1596227,-88.89849407,25.68814867
50,-174.2654452,-88.36341033,134.0202673
51,-163.1385013,-86.88615737,21.98167478
52,-102.1048766,-81.40713771,90.19110764
53,-110.8264632,-79.50253133,30.0264738
54,-110.063337,-88.36196876,63.44272805
55,-153.8122422,-89.45596843,31.46381775
56,-169.1025388,-85.5762247,81.53524288
57,-144.7983714,-84.9471161,88.16874964
58,-145.8694336,-82.18551386,43.65358697
59,-105.5167299,-82.36017261,88.74367529
60,-152.2635181,-84.23190802,77.21000885
61,-157.3597324,-84.34981191,53.79805513
62,-124.4643725,-88.93862446,125.3264526
63,-153.8512548,-83.0025278,105.163742
64,-121.1901317,-80.58051079,104.4596257
65,-124.8843316,-87.16537145,60.90989675
66,-141.5580498,-77.38655361,91.00405673
67,-132.623601,-82.95917515,101.7426612
68,-128.6506918,-75.94715945,71.14069775
69,-139.0693924,-87.62444292,54.80669545
70,-149.813063,-82.13328071,45.23990928
71,-119.5944693,-77.31943302,136.667386
72,-141.918858,-87.60350275,20.0977646
73,-149.7188007,-85.01685449,118.6384168
74,-152.7982582,-89.44012527,92.83903189
75,-135.2011154,-79.81793911,25.77518317
76,-110.2425079,-89.19237083,105.4845305
77,-101.8915844,-85.70781741,95.62754299
78,-135.5647752,-78.50711813,48.10372824
79,-132.4055018,-84.96861448,58.47711295
80,-108.419014,-82.26136701,50.91858202
81,-150.4471595,-89.17422176,107.1034899
