index,longitude,latitude,range,subset
978,-63.57955719,-65.74456262,99.48708971,high
982,-63.61963841,-65.78628168,88.87731595,high
972,-63.58781267,-65.65069014,64.12872067,high
1010,-63.71437432,-66.02023968,105.0237125,high
1016,-63.78063571,-66.00711443,60.63976265,high
974,-63.54532589,-65.37712138,132.5006318,high
995,-63.60689614,-65.32969303,59.97711869,high
1011,-62.60815353,-65.01365364,111.619727,high
987,-62.21622028,-65.75948639,89.39520969,high
988,-64.75794789,-66.72236087,107.0456737,high
1002,-65.15301543,-66.14173839,52.76473548,high
993,-65.14632017,-66.18097795,68.32619271,high
1003,-65.38505647,-66.21870307,55.15207177,high
969,-61.72215329,-64.86974283,102.5870034,high
1004,-62.17777328,-64.1899026,81.3638073,high
1005,-65.80364924,-65.59198492,50.92823001,high
1000,-65.51415672,-67.06313464,60.32220518,high
1019,-61.19609787,-66.06305825,153.0218372,high
983,-61.21050918,-64.83963918,111.2438969,high
1012,-66.12729352,-66.69958414,97.9047181,high
996,-65.6986021,-67.58417891,73.37506273,high
976,-65.64168987,-67.80768522,34.7900603,high
1009,-66.29556621,-67.14388499,61.47686145,high
971,-63.560724,-68.83734111,32.03437941,high
986,-65.91107408,-68.02519808,95.30769177,high
973,-60.6773044,-64.0680609,65.95708878,high
989,-60.5752151,-64.25429815,82.70201467,high
977,-66.35807522,-67.92631434,76.28717281,high
985,-62.96560341,-69.34959053,90.69245772,high
1006,-60.33793562,-63.98841778,94.06921022,high
1015,-66.90241541,-67.36754961,64.27446317,high
970,-60.20511973,-64.18120762,15.95959229,high
984,-65.71382784,-68.86827607,143.4624029,high
980,-66.41297046,-68.27808843,70.65221779,high
968,-64.67424587,-69.40112071,99.52312276,high
979,-61.97217975,-69.31592465,87.38384553,high
1017,-65.87202682,-69.02378895,110.0492088,high
990,-64.67080307,-69.65205414,83.87885833,high
994,-65.7092201,-69.39077893,116.3898404,high
1013,-62.50587965,-69.98945314,117.2020175,high
997,-61.24374261,-69.96291282,123.6847607,high
998,-66.57955213,-69.64729453,64.9300649,high
967,-67.35211605,-69.41996427,87.70515529,high
975,-68.71749331,-67.67320423,50.14768488,high
1001,-67.52043102,-69.86530903,137.7431242,high
1008,-68.15862966,-69.89659447,114.5687938,high
1007,-69.33154477,-69.82459839,69.15249004,high
221,-62.97566645,-73.02465932,76.75285047,high
992,-70.17656926,-68.9302687,28.9048183,high
232,-67.09395838,-72.71765532,121.9196016,high
480,24.29767813,-89.82850137,73.44190801,low
460,23.64605551,-86.12752599,146.2393752,low
461,23.96628329,-85.76460781,18.18474192,low
471,27.30254479,-85.49373497,72.45170716,low
477,22.33347905,-78.72116267,74.00472609,low
470,34.60703845,-83.26712781,47.97861232,low
451,23.96172069,-77.18095303,94.64142958,low
459,27.38258208,-76.11123707,94.3148429,low
466,32.67178933,-74.36714376,101.9805462,low
454,5.891321323,-83.77100799,12.51093365,low
474,31.5207116,-71.74020965,100.4054027,low
479,30.52098744,-71.35864399,47.37619142,low
452,44.1816253,-89.82890825,61.1514848,low
475,41.637997,-78.4670662,89.16010904,low
465,43.63543927,-81.55665875,89.07175582,low
463,46.00167739,-87.71672529,47.59292589,low
473,42.08179528,-76.67185309,67.39220151,low
464,3.414862272,-79.06531078,108.4261669,low
455,0.063985288,-88.81936421,95.30160459,low
462,8.50709599,-70.72948288,116.8939604,low
453,3.33137292,-76.27535193,125.9774524,low
444,-1.288102565,-89.38271808,21.4669264,low
248,-0.818438291,-82.30402261,56.35931953,low
364,-1.055044284,-82.28392158,67.80776159,low
456,46.60476025,-74.28716876,127.1263732,low
350,-2.87617504,-88.9527364,97.93228845,low
449,-2.788789337,-85.55064819,95.9445066,low
408,-3.057658233,-87.11593386,18.16120881,low
259,-2.916914921,-84.57821187,68.70596309,low
336,-2.806205217,-83.84963021,101.8018641,low
270,-2.248256699,-81.4967853,117.8308293,low
332,-1.442293885,-79.2612069,68.7826577,low
316,-0.572531725,-76.15608059,66.2882125,low
437,-4.294199159,-87.56464064,111.8287983,low
467,47.98517343,-73.58899901,132.1130635,low
285,-4.368962144,-87.7757316,45.91397249,low
458,53.04295331,-85.60664357,125.5771562,low
478,49.32819152,-74.93841861,37.51146439,low
391,-3.92669667,-82.20217574,50.05366167,low
284,-2.694155067,-78.51500409,76.44399434,low
291,-3.160152634,-79.50953312,122.7013242,low
