index,longitude,latitude,range,subset
967,-67.35211605,-69.41996427,87.70515529,high
968,-64.67424587,-69.40112071,99.52312276,high
969,-61.72215329,-64.86974283,102.5870034,high
970,-60.20511973,-64.18120762,15.95959229,high
971,-63.560724,-68.83734111,32.03437941,high
972,-63.58781267,-65.65069014,64.12872067,high
973,-60.6773044,-64.0680609,65.95708878,high
974,-63.54532589,-65.37712138,132.5006318,high
975,-68.71749331,-67.67320423,50.14768488,high
976,-65.64168987,-67.80768522,34.7900603,high
977,-66.35807522,-67.92631434,76.28717281,high
978,-63.57955719,-65.74456262,99.48708971,high
979,-61.97217975,-69.31592465,87.38384553,high
980,-66.41297046,-68.27808843,70.65221779,high
981,-70.48144139,-69.80334759,64.81874318,high
982,-63.61963841,-65.78628168,88.87731595,high
983,-61.21050918,-64.83963918,111.2438969,high
984,-65.71382784,-68.86827607,143.4624029,high
985,-62.96560341,-69.34959053,90.69245772,high
986,-65.91107408,-68.02519808,95.30769177,high
987,-62.21622028,-65.75948639,89.39520969,high
988,-64.75794789,-66.72236087,107.0456737,high
989,-60.5752151,-64.25429815,82.70201467,high
990,-64.67080307,-69.65205414,83.87885833,high
991,-71.90782003,-69.23409719,107.8879883,high
992,-70.17656926,-68.9302687,28.9048183,high
993,-65.14632017,-66.18097795,68.32619271,high
994,-65.7092201,-69.39077893,116.3898404,high
995,-63.60689614,-65.32969303,59.97711869,high
996,-65.6986021,-67.58417891,73.37506273,high
997,-61.24374261,-69.96291282,123.6847607,high
998,-66.57955213,-69.64729453,64.9300649,high
999,-71.0781621,-69.93620791,25.04448612,high
1000,-65.51415672,-67.06313464,60.32220518,high
1001,-67.52043102,-69.86530903,137.7431242,high
1002,-65.15301543,-66.14173839,52.76473548,high
1003,-65.38505647,-66.21870307,55.15207177,high
1004,-62.17777328,-64.1899026,81.3638073,high
1005,-65.80364924,-65.59198492,50.92823001,high
1006,-60.33793562,-63.98841778,94.06921022,high
1007,-69.33154477,-69.82459839,69.15249004,high
1008,-68.15862966,-69.89659447,114.5687938,high
1009,-66.29556621,-67.14388499,61.47686145,high
1010,-63.71437432,-66.02023968,105.0237125,high
1011,-62.60815353,-65.01365364,111.619727,high
1012,-66.12729352,-66.69958414,97.9047181,high
1013,-62.50587965,-69.98945314,117.2020175,high
1014,-70.69751409,-69.41209604,45.1963575,high
1015,-66.90241541,-67.36754961,64.27446317,high
1016,-63.78063571,-66.00711443,60.63976265,high
1017,-65.87202682,-69.02378895,110.0492088,high
1018,-70.66273365,-69.05316625,88.72033914,high
1019,-61.19609787,-66.06305825,153.0218372,high
483,92.8038677,-70.22060437,56.35287281,mixed
484,92.23356625,-78.73759615,98.22778369,mixed
490,102.2559208,-75.94407071,20.85319045,mixed
495,102.1252402,-71.41131725,58.8182649,mixed
501,91.80335796,-77.39773802,21.67284688,mixed
503,90.32782485,-78.83444726,70.81878381,mixed
506,111.2243525,-70.12521388,72.80854229,mixed
509,112.7696898,-75.13585254,72.29267252,mixed
510,116.1252432,-76.79798575,57.06343664,mixed
515,116.7065875,-76.89268745,68.940263,mixed
519,99.18135366,-75.89984921,103.9345379,mixed
520,90.72910539,-74.0469333,98.31027409,mixed
524,106.6780676,-75.22825745,133.1353398,mixed
537,130.5421295,-79.50659956,94.74408991,mixed
538,136.5496009,-77.15520034,59.40175155,mixed
539,141.4010803,-72.42525134,60.15070906,mixed
543,121.7537785,-78.64919633,47.88927485,mixed
545,129.5385047,-70.79634463,51.72188335,mixed
546,120.6984993,-71.73049985,60.31095851,mixed
547,145.6254213,-71.54574529,61.64240768,mixed
548,128.9413785,-77.4675781,110.3052801,mixed
551,146.9011041,-79.73488756,96.17152543,mixed
552,132.1852957,-77.49896536,60.39192868,mixed
553,121.6432398,-77.20468283,102.544389,mixed
556,131.6885488,-79.01498589,48.01829157,mixed
557,149.6634007,-78.1720362,114.5597133,mixed
558,140.9879172,-79.86032053,72.35495903,mixed
561,135.8563602,-70.07830963,105.0425257,mixed
566,144.3218739,-76.92946018,112.0699527,mixed
576,123.8135798,-76.83814884,93.98945984,mixed
579,140.8881071,-76.83513809,50.68766986,mixed
582,135.2252428,-70.83724817,45.0075213,mixed
591,141.0399551,-73.78348456,164.0075307,mixed
595,133.3722231,-74.37468747,17.18556652,mixed
596,140.1049577,-70.14907687,86.55759569,mixed
599,140.8798616,-76.2418753,130.848023,mixed
601,138.4837195,-74.61850385,50.9429769,mixed
603,136.8703804,-78.70528243,67.6454321,mixed
605,144.2638769,-76.27551653,63.30897884,mixed
608,148.3120803,-75.84248556,74.16495273,mixed
610,139.8717523,-75.65290724,120.9366251,mixed
613,136.9545653,-71.23005513,120.5502378,mixed
617,136.8055486,-73.78709378,94.68949372,mixed
619,137.668069,-78.58576037,114.6921034,mixed
622,137.7277057,-72.37464035,143.839145,mixed
629,120.0305824,-71.44627589,89.33781763,mixed
630,120.778253,-72.93794168,12.12337369,mixed
631,149.9428299,-74.29067499,22.48361573,mixed
636,129.243223,-75.22182008,105.9089722,mixed
639,143.0482132,-74.97062975,36.23927375,mixed
641,123.2717417,-78.5793965,104.8980941,mixed
642,128.325943,-70.29230493,60.5572158,mixed
646,120.6566136,-76.66084651,136.7754811,mixed
650,139.548586,-71.99950836,122.3708162,mixed
658,120.5445926,-76.86089442,98.67049945,mixed
659,131.3364808,-74.63744172,111.7245513,mixed
660,121.1434535,-79.87518721,42.50081789,mixed
661,122.4831835,-72.49995351,51.97711324,mixed
662,129.2841796,-77.46069467,33.5665504,mixed
665,126.9005525,-72.7440565,47.81035798,mixed
673,135.170869,-75.34550228,96.54854607,mixed
675,136.9015325,-76.46881481,65.18956122,mixed
679,122.5805137,-71.39876107,149.427482,mixed
680,141.5026344,-70.51676794,31.79807072,mixed
683,127.0954926,-75.68614135,73.12106957,mixed
686,123.3301098,-70.54589043,142.4433194,mixed
690,143.5141266,-78.7638412,173.8993014,mixed
691,130.8506897,-77.81513812,47.17423664,mixed
692,126.5064421,-72.59845006,106.3036932,mixed
694,132.4986513,-79.1101587,104.8305962,mixed
695,126.0784873,-71.28125253,52.6340802,mixed
696,132.7162914,-77.59567199,49.65024672,mixed
697,125.9659054,-77.60670458,78.73136322,mixed
701,120.8074314,-74.66131969,43.65942469,mixed
705,132.8164876,-75.26861698,83.83465783,mixed
706,148.5460775,-76.08117369,67.69683846,mixed
708,137.4849066,-75.02498224,97.22852207,mixed
711,145.5357782,-78.90055232,69.6831522,mixed
726,148.9670549,-77.08673873,38.98676241,mixed
727,133.9418994,-74.356751,92.75448452,mixed
728,143.2507555,-71.63678786,46.97473928,mixed
739,135.8985864,-78.4993991,42.61110803,mixed
740,133.8159385,-76.0776951,93.57367352,mixed
745,127.7214862,-75.39511554,83.69325054,mixed
748,130.9150773,-75.08006409,75.25932703,mixed
749,144.915657,-71.92296361,17.4162985,mixed
757,131.7143251,-70.89216673,42.99306145,mixed
760,137.671772,-76.23714962,45.83437714,mixed
762,124.4318454,-77.76910159,56.82830104,mixed
772,129.3704318,-76.04764927,73.3043443,mixed
774,124.4812922,-77.23555574,17.96565844,mixed
775,135.3014941,-75.89175679,85.94573977,mixed
780,144.1808225,-74.87072245,157.1448232,mixed
781,127.6683341,-79.1345736,119.1547906,mixed
783,149.6798164,-78.67659517,42.74590341,mixed
792,147.7586627,-77.40934307,11.28647593,mixed
795,128.0000624,-74.12567807,30.95617843,mixed
803,146.8664684,-77.83207912,60.22957785,mixed
804,133.4031986,-72.64981432,68.26248582,mixed
809,133.7835329,-73.94426881,87.60775088,mixed
811,146.855746,-77.26651512,119.666033,mixed
812,123.282416,-72.42909504,86.68271891,mixed
814,148.3596381,-74.17997067,41.64131738,mixed
816,128.3900011,-79.97756009,112.8514563,mixed
818,141.2482428,-78.55029261,87.32350884,mixed
821,120.7940659,-78.43952416,55.94358325,mixed
823,135.0245656,-73.57851993,86.17449933,mixed
830,128.8461639,-77.37644826,92.40805428,mixed
831,143.3769031,-75.28430508,120.6260604,mixed
835,137.2709234,-79.31538436,150.4434775,mixed
836,142.6999782,-72.16757882,23.58682034,mixed
845,136.4870043,-72.46081283,82.39296647,mixed
850,129.6111211,-77.05907959,72.66109169,mixed
864,121.3187273,-75.72596799,93.94853378,mixed
866,136.0301434,-70.25316695,85.53863257,mixed
872,127.6510734,-72.10153856,88.27319189,mixed
877,146.7105806,-70.2988289,96.51006703,mixed
881,121.7839428,-77.73728214,84.04802725,mixed
882,130.7638552,-71.06822545,91.09542565,mixed
888,143.7769273,-78.73215432,24.52655021,mixed
889,121.6211968,-74.48697254,45.57574003,mixed
890,139.7526265,-79.92201952,75.11062067,mixed
894,123.4657267,-73.6407533,59.25700402,mixed
899,136.6973209,-72.83451527,83.65509366,mixed
901,136.6145757,-74.35835628,50.767563,mixed
902,128.4325758,-79.82949764,16.27644793,mixed
904,147.9372178,-77.17509041,50.76041687,mixed
906,134.2094043,-74.94646757,101.0165,mixed
907,132.2343358,-79.7334392,39.36120182,mixed
910,125.6922536,-79.00276869,94.55059978,mixed
913,137.863291,-71.87880607,53.16679746,mixed
915,124.5883296,-77.58572794,129.932441,mixed
916,134.4936716,-77.99158135,56.67241353,mixed
919,139.5789194,-76.88684747,57.1094827,mixed
920,138.4588009,-73.59816733,99.62759847,mixed
922,122.0755393,-78.5950275,82.39940877,mixed
923,129.365311,-76.215271,61.73620253,mixed
926,135.4347001,-74.70723751,112.0379245,mixed
927,133.5529204,-76.30049079,63.05106649,mixed
928,136.4044029,-78.8237361,31.61094132,mixed
932,147.5783459,-70.05075206,68.45290381,mixed
933,139.8889498,-79.75461841,44.31045936,mixed
934,145.1498353,-78.92733078,19.39360336,mixed
937,139.4509123,-76.42426747,93.60114533,mixed
941,126.6779296,-72.14417192,45.59661066,mixed
950,129.8361197,-76.02821579,87.77340697,mixed
965,124.9100138,-74.26483434,129.3661126,mixed
451,23.96172069,-77.18095303,94.64142958,low
453,3.33137292,-76.27535193,125.9774524,low
456,46.60476025,-74.28716876,127.1263732,low
459,27.38258208,-76.11123707,94.3148429,low
462,8.50709599,-70.72948288,116.8939604,low
464,3.414862272,-79.06531078,108.4261669,low
466,32.67178933,-74.36714376,101.9805462,low
467,47.98517343,-73.58899901,132.1130635,low
468,54.32268786,-78.98330207,31.28755469,low
469,59.53462927,-79.53474604,98.34931638,low
473,42.08179528,-76.67185309,67.39220151,low
474,31.5207116,-71.74020965,100.4054027,low
475,41.637997,-78.4670662,89.16010904,low
476,55.46650228,-71.50388967,116.1682771,low
477,22.33347905,-78.72116267,74.00472609,low
478,49.32819152,-74.93841861,37.51146439,low
479,30.52098744,-71.35864399,47.37619142,low
482,49.12803528,-73.85925454,45.61130535,low
