Density_Type,Robot_Index,Robot_X,Robot_Y,Robot_Range,Assigned_Station_Index,Station_X,Station_Y,Need_Rescue
High,0,-63.57955719,-65.74456262,99.48708971,2,-64.63910889771634,-66.8575665325956,No
High,1,-63.61963841,-65.78628168,88.87731595,1,-60.78441921358095,-64.22345102824391,No
High,2,-63.58781267,-65.65069014,64.12872067,2,-64.63910889771634,-66.8575665325956,No
High,3,-63.71437432,-66.02023968,105.0237125,0,-65.06988059031971,-67.54475594649094,No
High,4,-63.78063571,-66.00711443,60.63976265,0,-65.06988059031971,-67.54475594649094,No
High,5,-63.54532589,-65.37712138,132.5006318,2,-64.63910889771634,-66.8575665325956,No
High,6,-63.60689614,-65.32969303,59.97711869,2,-64.63910889771634,-66.8575665325956,No
High,7,-62.60815353,-65.01365364,111.619727,0,-65.06988059031971,-67.54475594649094,No
High,8,-62.21622028,-65.75948639,89.39520969,0,-65.06988059031971,-67.54475594649094,No
High,9,-64.75794789,-66.72236087,107.0456737,2,-64.63910889771634,-66.8575665325956,No
High,10,-65.15301543,-66.14173839,52.76473548,0,-65.06988059031971,-67.54475594649094,No
High,11,-65.14632017,-66.18097795,68.32619271,2,-64.63910889771634,-66.8575665325956,No
High,12,-65.38505647,-66.21870307,55.15207177,0,-65.06988059031971,-67.54475594649094,No
High,13,-61.72215329,-64.86974283,102.5870034,1,-60.78441921358095,-64.22345102824391,No
High,14,-62.17777328,-64.1899026,81.3638073,1,-60.78441921358095,-64.22345102824391,No
High,15,-65.80364924,-65.59198492,50.92823001,2,-64.63910889771634,-66.8575665325956,No
High,16,-65.51415672,-67.06313464,60.32220518,2,-64.63910889771634,-66.8575665325956,No
High,17,-61.19609787,-66.06305825,153.0218372,2,-64.63910889771634,-66.8575665325956,No
High,18,-61.21050918,-64.83963918,111.2438969,1,-60.78441921358095,-64.22345102824391,No
High,19,-66.12729352,-66.69958414,97.9047181,0,-65.06988059031971,-67.54475594649094,No
High,20,-65.6986021,-67.58417891,73.37506273,2,-64.63910889771634,-66.8575665325956,No
High,21,-65.64168987,-67.80768522,34.7900603,2,-64.63910889771634,-66.8575665325956,No
High,22,-66.29556621,-67.14388499,61.47686145,2,-64.63910889771634,-66.8575665325956,No
High,23,-63.560724,-68.83734111,32.03437941,2,-64.63910889771634,-66.8575665325956,No
High,24,-65.91107408,-68.02519808,95.30769177,2,-64.63910889771634,-66.8575665325956,No
High,25,-60.6773044,-64.0680609,65.95708878,1,-60.78441921358095,-64.22345102824391,No
High,26,-60.5752151,-64.25429815,82.70201467,1,-60.78441921358095,-64.22345102824391,No
High,27,-66.35807522,-67.92631434,76.28717281,0,-65.06988059031971,-67.54475594649094,No
High,28,-62.96560341,-69.34959053,90.69245772,0,-65.06988059031971,-67.54475594649094,No
High,29,-60.33793562,-63.98841778,94.06921022,1,-60.78441921358095,-64.22345102824391,No
High,30,-66.90241541,-67.36754961,64.27446317,0,-65.06988059031971,-67.54475594649094,No
High,31,-60.20511973,-64.18120762,15.95959229,1,-60.78441921358095,-64.22345102824391,No
High,32,-65.71382784,-68.86827607,143.4624029,0,-65.06988059031971,-67.54475594649094,No
High,33,-66.41297046,-68.27808843,70.65221779,2,-64.63910889771634,-66.8575665325956,No
High,34,-64.67424587,-69.40112071,99.52312276,0,-65.06988059031971,-67.54475594649094,No
High,35,-61.97217975,-69.31592465,87.38384553,0,-65.06988059031971,-67.54475594649094,No
High,36,-65.87202682,-69.02378895,110.0492088,0,-65.06988059031971,-67.54475594649094,No
High,37,-64.67080307,-69.65205414,83.87885833,0,-65.06988059031971,-67.54475594649094,No
High,38,-65.7092201,-69.39077893,116.3898404,0,-65.06988059031971,-67.54475594649094,No
High,39,-62.50587965,-69.98945314,117.2020175,2,-64.63910889771634,-66.8575665325956,No
Low,0,24.29767813,-89.82850137,73.44190801,1,6.904082164697613,-81.12511248407912,No
Low,1,23.64605551,-86.12752599,146.2393752,1,6.904082164697613,-81.12511248407912,No
Low,2,23.96628329,-85.76460781,18.18474192,1,6.904082164697613,-81.12511248407912,No
Low,3,27.30254479,-85.49373497,72.45170716,1,6.904082164697613,-81.12511248407912,No
Low,4,22.33347905,-78.72116267,74.00472609,1,6.904082164697613,-81.12511248407912,No
Low,5,34.60703845,-83.26712781,47.97861232,1,6.904082164697613,-81.12511248407912,No
Low,6,23.96172069,-77.18095303,94.64142958,1,6.904082164697613,-81.12511248407912,No
Low,7,27.38258208,-76.11123707,94.3148429,2,42.57412782591621,-78.62274241073358,No
Low,8,32.67178933,-74.36714376,101.9805462,2,42.57412782591621,-78.62274241073358,No
Low,9,5.891321323,-83.77100799,12.51093365,1,6.904082164697613,-81.12511248407912,No
Low,10,31.5207116,-71.74020965,100.4054027,2,42.57412782591621,-78.62274241073358,No
Low,11,30.52098744,-71.35864399,47.37619142,1,6.904082164697613,-81.12511248407912,No
Low,12,44.1816253,-89.82890825,61.1514848,2,42.57412782591621,-78.62274241073358,No
Low,13,41.637997,-78.4670662,89.16010904,2,42.57412782591621,-78.62274241073358,No
Low,14,43.63543927,-81.55665875,89.07175582,2,42.57412782591621,-78.62274241073358,No
Low,15,46.00167739,-87.71672529,47.59292589,2,42.57412782591621,-78.62274241073358,No
Low,16,42.08179528,-76.67185309,67.39220151,2,42.57412782591621,-78.62274241073358,No
Low,17,3.414862272,-79.06531078,108.4261669,1,6.904082164697613,-81.12511248407912,No
Low,18,0.063985288,-88.81936421,95.30160459,0,-2.6387470478145665,-85.11868267722906,No
Low,19,8.50709599,-70.72948288,116.8939604,1,6.904082164697613,-81.12511248407912,No
Low,20,3.33137292,-76.27535193,125.9774524,1,6.904082164697613,-81.12511248407912,No
Low,21,-1.288102565,-89.38271808,21.4669264,0,-2.6387470478145665,-85.11868267722906,No
Low,22,-0.818438291,-82.30402261,56.35931953,0,-2.6387470478145665,-85.11868267722906,No
Low,23,-1.055044284,-82.28392158,67.80776159,0,-2.6387470478145665,-85.11868267722906,No
Low,24,46.60476025,-74.28716876,127.1263732,2,42.57412782591621,-78.62274241073358,No
Low,25,-2.87617504,-88.9527364,97.93228845,0,-2.6387470478145665,-85.11868267722906,No
