robot_id,station_id
578,S_12
40,S_5
901,S_2
878,S_30
716,S_48
176,S_23
693,S_39
608,S_61
856,S_57
446,S_46
146,S_29
484,S_53
425,S_31
87,S_35
474,S_45
2,S_62
132,S_58
739,S_19
346,S_31
150,S_35
822,S_49
429,S_31
752,S_24
349,S_46
500,S_25
412,S_44
496,S_25
170,S_52
866,S_2
895,S_49
953,S_21
363,S_28
592,S_19
1026,S_1
643,S_30
460,S_45
1020,S_33
617,S_2
722,S_10
447,S_3
231,S_55
304,S_9
115,S_23
138,S_23
582,S_26
1045,S_1
298,S_9
962,S_30
194,S_15
996,S_0
546,S_34
794,S_48
42,S_29
860,S_50
249,S_16
618,S_10
29,S_32
126,S_54
213,S_8
768,S_24
861,S_6
637,S_18
543,S_63
297,S_31
660,S_63
99,S_54
293,S_60
1039,S_1
281,S_27
894,S_34
381,S_31
775,S_26
25,S_35
122,S_43
228,S_62
783,S_14
267,S_42
515,S_40
520,S_53
177,S_29
273,S_42
644,S_12
1035,S_1
888,S_18
413,S_13
0,S_54
509,S_40
800,S_20
691,S_56
558,S_50
290,S_37
930,S_24
603,S_19
766,S_17
1058,S_15
65,S_35
510,S_40
652,S_7
666,S_17
127,S_58
587,S_48
745,S_34
39,S_15
173,S_33
207,S_23
157,S_5
943,S_21
734,S_19
414,S_13
359,S_46
824,S_12
498,S_59
596,S_2
156,S_23
375,S_28
372,S_47
772,S_56
109,S_8
472,S_25
948,S_14
300,S_28
687,S_19
701,S_63
675,S_2
393,S_28
15,S_8
601,S_2
708,S_2
367,S_9
215,S_55
1050,S_1
443,S_64
728,S_61
707,S_7
733,S_30
797,S_12
59,S_62
461,S_45
547,S_61
720,S_48
45,S_15
874,S_6
980,S_38
418,S_9
1046,S_1
97,S_23
588,S_20
217,S_55
239,S_44
283,S_16
852,S_7
757,S_26
529,S_53
266,S_47
397,S_27
685,S_50
303,S_3
448,S_60
427,S_44
455,S_37
382,S_9
562,S_24
91,S_15
541,S_7
299,S_60
919,S_2
232,S_38
695,S_34
394,S_46
53,S_41
253,S_9
545,S_34
332,S_16
422,S_13
399,S_13
555,S_50
154,S_5
921,S_49
330,S_44
689,S_57
825,S_19
565,S_6
650,S_2
556,S_56
478,S_25
571,S_14
737,S_48
914,S_6
585,S_10
430,S_28
992,S_38
552,S_56
544,S_48
906,S_26
467,S_25
428,S_42
379,S_46
62,S_35
651,S_48
814,S_61
256,S_44
586,S_36
514,S_59
135,S_5
525,S_40
216,S_66
1016,S_22
909,S_4
956,S_21
782,S_50
287,S_16
337,S_9
658,S_63
503,S_53
247,S_60
92,S_43
628,S_20
791,S_20
806,S_14
945,S_57
959,S_39
975,S_38
836,S_61
362,S_28
785,S_49
620,S_24
786,S_17
732,S_65
202,S_54
504,S_53
4,S_52
767,S_21
694,S_56
495,S_53
738,S_57
94,S_23
168,S_5
67,S_51
116,S_5
98,S_29
96,S_29
867,S_10
834,S_57
1006,S_22
353,S_31
826,S_6
560,S_30
11,S_52
223,S_55
192,S_35
331,S_27
301,S_37
252,S_9
844,S_19
1000,S_0
199,S_58
272,S_37
307,S_28
284,S_16
563,S_36
871,S_39
873,S_30
877,S_61
516,S_25
988,S_22
286,S_37
313,S_9
462,S_16
357,S_9
667,S_20
932,S_61
559,S_6
999,S_38
43,S_54
684,S_36
1027,S_1
663,S_49
886,S_20
136,S_29
23,S_33
521,S_59
171,S_15
542,S_39
73,S_5
408,S_37
19,S_15
30,S_15
265,S_44
735,S_4
13,S_51
969,S_22
377,S_37
787,S_57
715,S_49
454,S_37
386,S_16
100,S_8
534,S_53
1044,S_1
12,S_33
539,S_2
593,S_4
1070,S_42
773,S_12
958,S_21
277,S_16
145,S_35
1014,S_38
76,S_29
49,S_35
568,S_14
66,S_43
623,S_21
26,S_15
977,S_38
501,S_53
271,S_44
335,S_42
626,S_20
470,S_45
1009,S_0
188,S_29
595,S_26
161,S_54
950,S_56
340,S_42
792,S_14
777,S_12
842,S_7
705,S_26
88,S_51
464,S_16
101,S_43
1018,S_38
840,S_14
1057,S_8
322,S_42
493,S_59
868,S_39
908,S_11
275,S_27
807,S_49
237,S_27
390,S_64
1034,S_1
670,S_20
234,S_55
743,S_36
69,S_58
680,S_2
713,S_14
727,S_26
885,S_39
864,S_63
475,S_45
158,S_33
979,S_0
1037,S_33
312,S_3
497,S_40
1002,S_22
647,S_48
358,S_42
931,S_10
973,S_22
63,S_32
459,S_45
373,S_9
659,S_26
57,S_58
912,S_12
838,S_14
18,S_51
639,S_61
600,S_24
606,S_17
395,S_27
420,S_31
976,S_0
955,S_7
1007,S_38
361,S_46
90,S_29
758,S_12
833,S_14
845,S_2
862,S_48
224,S_66
709,S_12
206,S_52
507,S_40
789,S_10
784,S_10
75,S_15
129,S_43
409,S_47
1067,S_42
144,S_51
295,S_46
369,S_31
965,S_34
518,S_53
259,S_37
841,S_4
389,S_9
221,S_0
492,S_40
744,S_7
936,S_24
550,S_65
70,S_32
184,S_29
84,S_8
323,S_42
583,S_21
580,S_49
764,S_4
920,S_2
254,S_47
203,S_51
344,S_28
1028,S_1
1040,S_33
124,S_8
933,S_50
755,S_30
907,S_56
108,S_33
998,S_38
987,S_22
830,S_56
486,S_53
530,S_59
916,S_56
445,S_28
942,S_36
1013,S_0
491,S_53
857,S_20
288,S_27
403,S_13
697,S_11
502,S_59
1061,S_43
36,S_41
128,S_51
55,S_5
688,S_30
137,S_41
245,S_31
141,S_41
961,S_17
210,S_54
1004,S_22
890,S_50
197,S_23
143,S_43
990,S_0
803,S_18
749,S_61
105,S_8
347,S_44
951,S_65
1066,S_13
238,S_64
214,S_54
35,S_35
257,S_3
450,S_31
949,S_48
627,S_48
246,S_47
41,S_35
649,S_36
125,S_52
512,S_53
133,S_62
251,S_3
924,S_48
37,S_58
326,S_28
616,S_36
690,S_18
625,S_36
451,S_45
985,S_0
724,S_19
881,S_63
762,S_11
681,S_30
1043,S_1
934,S_18
605,S_61
591,S_2
719,S_6
672,S_20
1025,S_1
917,S_24
630,S_34
204,S_51
692,S_34
589,S_14
1011,S_22
621,S_7
848,S_50
392,S_46
68,S_15
222,S_66
855,S_4
51,S_33
566,S_61
415,S_47
449,S_37
839,S_21
190,S_23
315,S_9
721,S_12
488,S_59
940,S_36
140,S_23
289,S_64
896,S_57
166,S_33
380,S_27
642,S_34
941,S_34
27,S_15
424,S_60
401,S_47
809,S_26
179,S_35
960,S_57
954,S_11
471,S_45
311,S_27
153,S_15
963,S_24
927,S_26
227,S_66
233,S_55
615,S_65
72,S_58
898,S_48
95,S_32
1010,S_22
511,S_25
624,S_57
981,S_38
665,S_34
456,S_25
827,S_17
244,S_28
458,S_25
186,S_52
208,S_29
1003,S_22
182,S_58
853,S_21
653,S_24
798,S_57
811,S_61
333,S_13
765,S_39
117,S_54
703,S_30
893,S_21
622,S_2
258,S_31
235,S_55
191,S_41
869,S_39
139,S_43
723,S_39
741,S_4
56,S_52
1054,S_15
683,S_34
50,S_52
678,S_6
78,S_15
494,S_17
710,S_10
160,S_15
551,S_14
966,S_11
243,S_42
292,S_27
175,S_23
742,S_65
879,S_6
968,S_0
477,S_45
682,S_57
576,S_11
481,S_25
164,S_62
174,S_54
676,S_20
859,S_36
440,S_13
763,S_20
123,S_51
926,S_26
205,S_1
465,S_45
899,S_2
770,S_17
828,S_36
368,S_16
887,S_50
274,S_16
554,S_30
904,S_14
664,S_49
991,S_38
1024,S_1
1053,S_43
1068,S_13
387,S_28
604,S_24
229,S_55
696,S_56
1071,S_42
779,S_4
880,S_12
609,S_49
823,S_26
431,S_27
324,S_27
167,S_54
795,S_34
6,S_51
110,S_54
983,S_22
1069,S_42
847,S_21
939,S_39
1030,S_1
902,S_24
790,S_39
522,S_53
911,S_19
260,S_16
250,S_60
802,S_7
209,S_41
602,S_50
61,S_33
329,S_31
384,S_37
891,S_10
201,S_29
480,S_45
163,S_5
527,S_59
248,S_37
648,S_17
308,S_44
599,S_18
352,S_27
1047,S_1
702,S_57
476,S_25
489,S_59
17,S_52
813,S_65
573,S_17
218,S_66
537,S_56
1012,S_0
165,S_52
1,S_51
654,S_36
726,S_14
404,S_47
360,S_60
8,S_58
574,S_65
416,S_3
533,S_59
