robot_id,station_id
578,S_24
40,S_58
901,S_26
878,S_39
716,S_48
176,S_51
693,S_39
608,S_61
856,S_57
446,S_46
146,S_62
484,S_53
425,S_31
87,S_35
474,S_45
2,S_62
132,S_58
739,S_19
346,S_31
150,S_35
822,S_49
429,S_31
752,S_24
349,S_46
500,S_59
412,S_44
496,S_59
170,S_52
866,S_26
895,S_57
953,S_21
363,S_60
592,S_19
1026,S_33
643,S_39
460,S_45
1020,S_33
617,S_26
722,S_48
447,S_64
231,S_31
304,S_44
115,S_51
138,S_54
582,S_26
1045,S_43
298,S_44
962,S_49
194,S_51
996,S_38
546,S_63
794,S_48
42,S_41
860,S_50
249,S_37
618,S_49
29,S_33
126,S_54
213,S_54
768,S_24
861,S_39
637,S_61
543,S_63
297,S_31
660,S_63
99,S_54
293,S_60
1039,S_43
281,S_60
894,S_34
381,S_31
775,S_26
25,S_35
122,S_43
228,S_66
783,S_57
267,S_42
515,S_40
520,S_53
177,S_66
273,S_42
644,S_24
1035,S_33
888,S_61
413,S_60
0,S_54
509,S_40
800,S_20
691,S_56
558,S_50
290,S_37
930,S_24
603,S_19
766,S_40
1058,S_43
65,S_35
510,S_40
652,S_21
666,S_40
127,S_58
587,S_48
745,S_34
39,S_51
173,S_33
207,S_51
157,S_43
943,S_21
734,S_19
414,S_64
359,S_46
824,S_24
498,S_59
596,S_26
156,S_35
375,S_47
372,S_47
772,S_56
109,S_54
472,S_45
948,S_20
300,S_47
687,S_19
701,S_63
675,S_26
393,S_44
15,S_54
601,S_26
708,S_26
367,S_37
215,S_55
1050,S_33
443,S_64
728,S_61
707,S_49
733,S_39
797,S_24
59,S_62
461,S_45
547,S_61
720,S_48
45,S_51
874,S_39
980,S_38
418,S_37
1046,S_43
97,S_54
588,S_20
217,S_55
239,S_44
283,S_37
852,S_57
757,S_26
529,S_53
266,S_47
397,S_60
685,S_50
303,S_64
448,S_60
427,S_44
455,S_37
382,S_37
562,S_24
91,S_51
541,S_49
299,S_60
919,S_61
232,S_55
695,S_34
394,S_46
53,S_41
253,S_37
545,S_34
332,S_37
422,S_46
399,S_46
555,S_50
154,S_33
921,S_49
330,S_44
689,S_57
825,S_19
565,S_39
650,S_26
556,S_56
478,S_45
571,S_20
737,S_48
914,S_39
585,S_48
430,S_60
992,S_55
552,S_56
544,S_48
906,S_26
467,S_45
428,S_42
379,S_46
62,S_35
651,S_48
814,S_57
256,S_44
586,S_36
514,S_59
135,S_58
525,S_40
216,S_66
1016,S_38
909,S_49
956,S_21
782,S_50
287,S_37
337,S_37
658,S_63
503,S_53
247,S_60
92,S_43
628,S_20
791,S_20
806,S_57
945,S_57
959,S_39
975,S_55
836,S_61
362,S_60
785,S_49
620,S_24
786,S_40
732,S_36
202,S_54
504,S_53
4,S_52
767,S_21
694,S_56
495,S_53
738,S_57
94,S_54
168,S_33
67,S_51
116,S_43
98,S_41
96,S_62
867,S_48
834,S_57
1006,S_38
353,S_31
826,S_39
560,S_39
11,S_52
223,S_55
192,S_35
331,S_46
301,S_37
252,S_44
844,S_19
1000,S_38
199,S_58
272,S_37
307,S_60
284,S_37
563,S_36
871,S_39
873,S_39
877,S_61
516,S_59
988,S_38
286,S_37
313,S_44
462,S_37
357,S_47
667,S_20
932,S_57
559,S_39
999,S_55
43,S_54
684,S_36
1027,S_43
663,S_49
886,S_20
136,S_41
23,S_33
521,S_59
171,S_51
542,S_39
73,S_43
408,S_47
19,S_51
30,S_51
265,S_44
735,S_49
13,S_51
969,S_38
377,S_47
787,S_57
715,S_49
454,S_47
386,S_47
100,S_54
534,S_53
1044,S_33
12,S_33
539,S_61
593,S_49
1070,S_42
773,S_24
958,S_21
277,S_47
145,S_35
1014,S_55
76,S_41
49,S_35
568,S_49
66,S_43
623,S_21
26,S_51
977,S_38
501,S_53
271,S_44
335,S_42
626,S_20
470,S_45
1009,S_38
188,S_54
595,S_26
161,S_54
950,S_56
340,S_42
792,S_61
777,S_36
842,S_49
705,S_26
88,S_51
464,S_47
101,S_43
1018,S_55
840,S_48
1057,S_54
322,S_42
493,S_59
868,S_39
908,S_24
275,S_46
807,S_49
237,S_60
390,S_64
1034,S_33
670,S_20
234,S_55
743,S_36
69,S_58
680,S_61
713,S_49
727,S_26
885,S_21
864,S_63
475,S_45
158,S_33
979,S_38
1037,S_33
312,S_64
497,S_40
1002,S_38
647,S_48
358,S_42
931,S_48
973,S_38
63,S_33
459,S_45
373,S_47
659,S_56
57,S_58
912,S_24
838,S_20
18,S_51
639,S_61
600,S_24
606,S_24
395,S_60
420,S_31
976,S_38
955,S_57
1007,S_55
361,S_46
90,S_41
758,S_24
833,S_20
845,S_26
862,S_48
224,S_66
709,S_24
206,S_52
507,S_40
789,S_48
784,S_48
75,S_51
129,S_43
409,S_47
1067,S_42
144,S_58
295,S_46
369,S_31
965,S_34
518,S_53
259,S_47
841,S_21
389,S_44
221,S_38
492,S_40
744,S_57
936,S_63
550,S_65
70,S_43
184,S_41
84,S_54
323,S_42
583,S_21
580,S_57
764,S_21
920,S_61
254,S_47
203,S_58
344,S_60
1028,S_33
1040,S_52
124,S_35
933,S_50
755,S_21
907,S_56
108,S_52
998,S_38
987,S_38
830,S_56
486,S_59
530,S_59
916,S_56
445,S_60
942,S_36
1013,S_55
491,S_53
857,S_20
288,S_60
403,S_64
697,S_63
502,S_59
1061,S_43
36,S_41
128,S_58
55,S_58
688,S_21
137,S_41
245,S_31
141,S_41
961,S_63
210,S_35
1004,S_55
890,S_50
197,S_35
143,S_43
990,S_55
803,S_61
749,S_61
105,S_35
347,S_44
951,S_65
1066,S_46
238,S_64
214,S_35
35,S_35
257,S_64
450,S_31
949,S_20
627,S_20
246,S_47
41,S_35
649,S_36
125,S_52
512,S_53
133,S_66
251,S_64
924,S_20
37,S_58
326,S_44
616,S_36
690,S_61
625,S_36
451,S_45
985,S_55
724,S_19
881,S_63
762,S_63
681,S_21
1043,S_58
934,S_50
605,S_50
591,S_50
719,S_21
672,S_50
1025,S_58
917,S_63
630,S_63
204,S_58
692,S_34
589,S_50
1011,S_55
621,S_57
848,S_50
392,S_46
68,S_58
222,S_66
855,S_21
51,S_52
566,S_50
415,S_44
449,S_46
839,S_50
190,S_41
315,S_46
721,S_36
488,S_59
940,S_36
140,S_41
289,S_64
896,S_50
166,S_52
380,S_46
642,S_34
941,S_34
27,S_41
424,S_64
401,S_64
809,S_56
179,S_41
960,S_65
954,S_63
471,S_45
311,S_64
153,S_41
963,S_56
927,S_56
227,S_66
233,S_31
615,S_65
72,S_52
898,S_65
95,S_52
1010,S_42
511,S_59
624,S_65
981,S_31
665,S_34
456,S_45
827,S_40
244,S_64
458,S_45
186,S_52
208,S_66
1003,S_42
182,S_52
853,S_65
653,S_56
798,S_65
811,S_65
333,S_64
765,S_65
117,S_41
703,S_65
893,S_65
622,S_56
258,S_31
235,S_31
191,S_62
869,S_65
139,S_52
723,S_65
741,S_65
56,S_52
1054,S_62
683,S_34
50,S_52
678,S_65
78,S_62
494,S_40
710,S_36
160,S_62
551,S_19
966,S_63
243,S_42
292,S_42
175,S_62
742,S_36
879,S_36
968,S_42
477,S_45
682,S_19
576,S_63
481,S_59
164,S_62
174,S_62
676,S_36
859,S_19
440,S_42
763,S_19
123,S_62
926,S_56
205,S_62
465,S_45
899,S_19
770,S_40
828,S_19
368,S_45
887,S_19
274,S_31
554,S_19
904,S_34
664,S_34
991,S_66
1024,S_62
1053,S_62
1068,S_66
387,S_34
604,S_34
229,S_66
696,S_34
1071,S_66
779,S_34
880,S_40
609,S_40
823,S_40
431,S_66
324,S_66
167,S_62
795,S_53
6,S_66
110,S_66
983,S_53
1069,S_53
847,S_53
939,S_53
1030,S_59
902,S_59
790,S_59
